Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
512359,Sword-Edge Commercials Limited,SWORDEDGE,Sword-Edge Commercials Limited,Active,XT,1.00,INE093G01022,Comm.Trading  & Distribution,Equity,Industrials,Commercial Services & Supplies,Commercial Services & Supplies,Trading Companies & Distributors,
512367,"Sheraton Properties & Finance Ltd.,",ZSHERAPR,SHERATON PROPERTIES & FINANCE LTD.,Active,P ,10.00,INE495M01019,Other Financial Services,Equity,Finance,Other Financial Services,Other Financial Services,Other Financial Services,
512377,"Magnanimous Trade & Finance Ltd.,",MAGANTR,MAGNANIMOUS TRADE & FINANCE LTD.,Active,XT,10.00,INE664N01018,Misc.Commercial Services,Equity,Industrials,Commercial Services & Supplies,Commercial Services & Supplies,Diversified Commercial Services,
512379,Cressanda Solutions Ltd.,CRESSAN,CRESSANDA SOLUTIONS LTD.,Active,XT,1.00,INE716D01033,IT Software Products,Equity,Information Technology,Software & Services,IT Software & Services,Software Products,
512381,STARTECK FINANCE LIMITED,STARTECK,Starteck Finance Ltd,Active,X ,10.00,INE992I01013,Comm.Trading  & Distribution,Equity,Industrials,Commercial Services & Supplies,Commercial Services & Supplies,Trading Companies & Distributors,
512393,Shardul Securities Ltd.,SHARDUL,SHARDUL SECURITIES LTD.,Active,X ,10.00,INE037B01012,Other Financial Services,Equity,Finance,Other Financial Services,Other Financial Services,Other Financial Services,
512399,"Kapashi Commercials Ltd.,",KAPASHI,KAPASHI COMMERCIALS LTD.,Active,X ,10.00,INE017I01019,Other Financial Services,Equity,Finance,Other Financial Services,Other Financial Services,Other Financial Services,
512404,"Bengal Steel Industries Ltd.,",BENGALS,BENGAL STEEL INDUSTRIES LTD.,Active,P ,10.00,INE523W01017,Iron & Steel/Interm.Products,Equity,Basic Materials,Metals & Mining,Steel,Iron & Steel and Intermediary Products,
512408,Uniworth Securities Limited,UNIWSEC,UNIWORTH SECURITIES LTD.,Active,XT,10.00,INE728J01019,Textiles,Equity,CDGS (Consumer Discretionary Goods & Services),"Textiles, Apparels & Accessories","Textiles, Apparels & Accessories",Textiles,
512415,"Mercury Trade Links Ltd.,",MERCTRD,MERCURY TRADE LINKS LTD.,Active,P ,10.00,INE319T01016,Misc.Commercial Services,Equity,Industrials,Commercial Services & Supplies,Commercial Services & Supplies,Diversified Commercial Services,
512425,"Nirav Commercials Ltd.,",NIRAVCOM,NIRAV COMMERCIALS LTD.,Active,X ,10.00,INE242B01018,Comm.Trading  & Distribution,Equity,Industrials,Commercial Services & Supplies,Commercial Services & Supplies,Trading Companies & Distributors,
512433,Asutosh Enterprise Ltd.,ASUTENT,ASUTOSH ENTERPRISES LTD.,Active,P ,10.00,INE508W01018,Comm.Trading  & Distribution,Equity,Industrials,Commercial Services & Supplies,Commercial Services & Supplies,Trading Companies & Distributors,
512437,"Apollo Finvest (India) Ltd.,",APOLLOFI,APOLLO FINVEST (INDIA) LTD.,Active,XT,10.00,INE412D01013,Other Financial Services,Equity,Finance,Other Financial Services,Other Financial Services,Other Financial Services,
512441,"Enbee Trade & Finance Ltd.,",ENBETRD,ENBEE TRADE & FINANCE LTD.,Active,XT,10.00,INE993I01011,Misc.Commercial Services,Equity,Industrials,Commercial Services & Supplies,Commercial Services & Supplies,Diversified Commercial Services,
512443,Ganon Products Limited,GANONPRO,Ganon Products Ltd,Active,XT,10.00,INE162L01017,Comm.Trading  & Distribution,Equity,Industrials,Commercial Services & Supplies,Commercial Services & Supplies,Trading Companies & Distributors,
512445,"Devinsu Trading Ltd.,",DEVITRD,DEVINSU TRADING LTD.,Active,P ,10.00,INE07LH01016,Other Financial Services,Equity,Finance,Other Financial Services,Other Financial Services,Other Financial Services,
512453,Shri Jagdamba Polymers Ltd,SHRJAGP,SHRI JAGDAMBA POLYMERS LTD.,Active,X ,1.00,INE564J01026,Containers & Packaging,Equity,Industrials,General Industrials,General Industrials,Containers & Packaging,
512455,Lloyds Metals and Energy Limited,LLOYDSME,LLOYDS METALS AND ENERGY LTD.,Active,B ,1.00,INE281B01032,Iron & Steel/Interm.Products,Equity,Basic Materials,Metals & Mining,Steel,Iron & Steel and Intermediary Products,
512461,"Punctual Trading Ltd.,",PUNCTRD,PUNCTUAL TRADING LTD.,Active,P ,10.00,INE07NX01019,Comm.Trading  & Distribution,Equity,Industrials,Commercial Services & Supplies,Commercial Services & Supplies,Trading Companies & Distributors,
512463,Shree Global  Tradefin  L t d..,SHRGLTR,SHREE GLOBAL TRADEFIN LTD.,Active,XT,1.00,INE080I01025,Finance (including NBFCs),Equity,Finance,Other Financial Services,Other Financial Services,Other Finance companies (including NBFCs),
512477,"Betex India Ltd.,",BETXIND,BETEX INDIA LTD.,Active,X ,10.00,INE765L01017,Textiles,Equity,CDGS (Consumer Discretionary Goods & Services),"Textiles, Apparels & Accessories","Textiles, Apparels & Accessories",Textiles,
512481,"Polytex India Ltd.,",POLYTEX,POLYTEX INDIA LTD.,Active,XT,10.00,INE012F01016,Finance (including NBFCs),Equity,Finance,Other Financial Services,Other Financial Services,Other Finance companies (including NBFCs),
512485,"Dhanlaxmi Cotex Ltd.,",DHANCOT,DHANLAXMI COTEX LTD.,Active,XT,10.00,INE977F01010,Comm.Trading  & Distribution,Equity,Industrials,Commercial Services & Supplies,Commercial Services & Supplies,Trading Companies & Distributors,
512489,Oasis Securities Limited,OASISEC,OASIS SECURITIES LTD.,Active,X ,10.00,INE876A01015,Finance (including NBFCs),Equity,Finance,Other Financial Services,Other Financial Services,Other Finance companies (including NBFCs),
512493,Garnet International Limited,GARNETINT,GARNET INTERNATIONAL LTD.,Active,XT,10.00,INE590B01010,Other Financial Services,Equity,Finance,Other Financial Services,Other Financial Services,Other Financial Services,
512499,Shalimar Productions Ltd.,SHALPRO,SHALIMAR PRODUCTIONS LTD.,Active,X ,1.00,INE435E01020,Other Financial Services,Equity,Finance,Other Financial Services,Other Financial Services,Other Financial Services,
512511,"Varun Mercantile Ltd.,",VARUNME,VARUN MERCANTILE LTD.,Active,XT,10.00,INE442U01014,Misc.Commercial Services,Equity,Industrials,Commercial Services & Supplies,Commercial Services & Supplies,Diversified Commercial Services,
512519,Donear Industries Ltd,DONEAR,DONEAR INDUSTRIES LTD.-$,Active,B ,2.00,INE668D01028,Textiles,Equity,CDGS (Consumer Discretionary Goods & Services),"Textiles, Apparels & Accessories","Textiles, Apparels & Accessories",Textiles,
512522,"Neptune Exports Ltd.,",NEPTEXP,NEPTUNE EXPORTS LTD.,Active,P ,10.00,INE066X01015,Comm.Trading  & Distribution,Equity,Industrials,Commercial Services & Supplies,Commercial Services & Supplies,Trading Companies & Distributors,
512527,Super Sales India Ltd.,SUPER,SUPER SALES INDIA LTD.-$,Active,X ,10.00,INE091C01017,Textiles,Equity,CDGS (Consumer Discretionary Goods & Services),"Textiles, Apparels & Accessories","Textiles, Apparels & Accessories",Textiles,
512529,Sequent Scientific Limited,SEQUENT,SEQUENT SCIENTIFIC LTD.,Active,A ,2.00,INE807F01027,Pharmaceuticals,Equity,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals & Biotechnology,Pharmaceuticals,
512531,State Trading Corporation of India,STCINDIA,STATE TRADING CORPORATION OF INDIA LTD.,Active,B ,10.00,INE655A01013,Comm.Trading  & Distribution,Equity,Industrials,Commercial Services & Supplies,Commercial Services & Supplies,Trading Companies & Distributors,
512553,Zenith Exports Ltd.,ZENITHEXPO,ZENITH EXPORTS LTD.,Active,B ,10.00,INE058B01018,Textiles,Equity,CDGS (Consumer Discretionary Goods & Services),"Textiles, Apparels & Accessories","Textiles, Apparels & Accessories",Textiles,
512573,Avanti Feeds ltd.,AVANTI,AVANTI FEEDS LTD.-$,Active,A ,1.00,INE871C01038,Other Food Products,Equity,FMCG (Fast Moving Consumer Goods),"Food, Beverages & Tobacco",Food Products,Other Food Products,
512587,Zodiac-JRD-MKJ Ltd.,ZODJRDMKJ,ZODIAC-JRD-MKJ LTD.,Active,X ,10.00,INE077B01018,Other Apparels & Accessories,Equity,CDGS (Consumer Discretionary Goods & Services),"Textiles, Apparels & Accessories","Textiles, Apparels & Accessories",Other Apparels & Accessories,
512589,Sita Enterprises LTD.,SITAENT,SITA ENTERPRISES LTD.,Active,X ,10.00,INE579D01019,Comm.Trading  & Distribution,Equity,Industrials,Commercial Services & Supplies,Commercial Services & Supplies,Trading Companies & Distributors,
512591,Pulsar International Limited,PULSRIN,PULSAR INTERNATIONAL LTD.,Active,P ,10.00,INE183U01014,Comm.Trading  & Distribution,Equity,Industrials,Commercial Services & Supplies,Commercial Services & Supplies,Trading Companies & Distributors,
512595,Unimode Overseas Ltd.,UNIMOVR,UNIMODE OVERSEAS LTD.,Active,XT,10.00,INE348N01034,Other Apparels & Accessories,Equity,CDGS (Consumer Discretionary Goods & Services),"Textiles, Apparels & Accessories","Textiles, Apparels & Accessories",Other Apparels & Accessories,
512597,KEYNOTE FINANCIAL SERVICES LIMITED,KEYFINSER,Keynote Financial Services Ltd,Active,B ,10.00,INE681C01015,Finance (including NBFCs),Equity,Finance,Other Financial Services,Other Financial Services,Other Finance companies (including NBFCs),
512599,Adani Enterprises Ltd.,ADANIENT,ADANI ENTERPRISES LTD.,Active,A ,1.00,INE423A01024,Comm.Trading  & Distribution,Equity,Industrials,Commercial Services & Supplies,Commercial Services & Supplies,Trading Companies & Distributors,
512600,Macro (International) Exports ltd.,MACINTR,MACRO (INTERNATIONAL) EXPORTS LTD.,Active,XT,10.00,INE307N01014,Comm.Trading  & Distribution,Equity,Industrials,Commercial Services & Supplies,Commercial Services & Supplies,Trading Companies & Distributors,
512604,Haria Exports Ltd.,HARIAEXPO,HARIA EXPORTS LTD.-$,Active,X ,10.00,INE772B01014,Other Apparels & Accessories,Equity,CDGS (Consumer Discretionary Goods & Services),"Textiles, Apparels & Accessories","Textiles, Apparels & Accessories",Other Apparels & Accessories,
512608,Bhandari Hosiery Exports Ltd.,BHANDHOS,BHANDARI HOSIERY EXPORTS LTD.,Active,T ,1.00,INE474E01029,Other Apparels & Accessories,Equity,CDGS (Consumer Discretionary Goods & Services),"Textiles, Apparels & Accessories","Textiles, Apparels & Accessories",Other Apparels & Accessories,
512618,RLF Ltd.,RLF,RLF LTD.,Active,XT,10.00,INE629C01014,Textiles,Equity,CDGS (Consumer Discretionary Goods & Services),"Textiles, Apparels & Accessories","Textiles, Apparels & Accessories",Textiles,
512624,Regent Enterprises Limited,REGENTRP,Regent Enterprises Ltd,Active,X ,10.00,INE769D01016,Comm.Trading  & Distribution,Equity,Industrials,Commercial Services & Supplies,Commercial Services & Supplies,Trading Companies & Distributors,
512626,Orbit Exports Ltd.,ORBTEXP,ORBIT EXPORTS LTD.,Active,B ,10.00,INE231G01010,Textiles,Equity,CDGS (Consumer Discretionary Goods & Services),"Textiles, Apparels & Accessories","Textiles, Apparels & Accessories",Textiles,
512634,Savera Industries Ltd.,SAVERA,SAVERA INDUSTRIES LTD.,Active,X ,10.00,INE104E01014,Hotels,Equity,CDGS (Consumer Discretionary Goods & Services),"Hotels, Restaurants & Tourism","Hotels, Restaurants & Tourism",Hotels,
513005,V.B.C. Ferro Alloys Ltd.,VBCFERROQ,VBC FERRO ALLOYS LTD.-$,Active,XT,10.00,INE114E01013,Iron & Steel/Interm.Products,Equity,Basic Materials,Metals & Mining,Steel,Iron & Steel and Intermediary Products,
513010,TATA STEEL LONG PRODUCTS LIMITED,TATASTLLP,Tata Steel Long Products Ltd,Active,A ,10.00,INE674A01014,Iron & Steel/Interm.Products,Equity,Basic Materials,Metals & Mining,Steel,Iron & Steel and Intermediary Products,
513023,Nava Bharat Ventures Ltd,NBVENTURES,NAVA BHARAT VENTURES LTD.,Active,A ,2.00,INE725A01022,Electric Utilities,Equity,Utilities,Utilities,Utilities,Electric Utilities,
513039,Hindusthan Udyog Ltd,ZHINUDYP,HINDUSTHAN UDYOG LTD.,Active,XT,10.00,INE582K01018,Industrial Machinery,Equity,Industrials,Capital Goods,Machinery,Industrial Machinery,
513043,Remi Edelstahl Tubulars Limited,REMIEDEL,Remi Edelstahl Tubulars Limited,Active,X ,10.00,INE158G01015,Iron & Steel Products,Equity,Industrials,General Industrials,General Industrials,Iron & Steel Products,
513059,"G.S. Auto International Ltd.,",GSAUTO,G.S.AUTO INTERNATIONAL LTD.,Active,XT,5.00,INE736H01024,Auto Parts & Equipment,Equity,CDGS (Consumer Discretionary Goods & Services),Automobiles & Auto Components,Auto Components,Auto Parts & Equipment,
513063,"Trans-Freight Containers Ltd.,",TRANSFRE,TRANS-FREIGHT CONTAINERS LTD.,Active,XT,10.00,INE360D01014,Iron & Steel Products,Equity,Industrials,General Industrials,General Industrials,Iron & Steel Products,
513097,"Shivalik Bimetal Controls Ltd.,",SHBCLQ,SHIVALIK BIMETAL CONTROLS LTD.,Active,B ,2.00,INE386D01027,Electronic Components,Equity,Information Technology,Hardware Technology & Equipment,"Electronic Components, Equipment & Instruments","Electronic Components, Equipment & Instruments",
513108,"Gandhi Special Tubes Ltd.,",GANDHITUBE,GANDHI SPECIAL TUBES LTD.-$,Active,B ,5.00,INE524B01027,Iron & Steel Products,Equity,Industrials,General Industrials,General Industrials,Iron & Steel Products,
513117,"Amforge Industries Ltd.,",AMFORG,AMFORGE INDUSTRIES LTD.,Active,X ,2.00,INE991A01020,Auto Parts & Equipment,Equity,CDGS (Consumer Discretionary Goods & Services),Automobiles & Auto Components,Auto Components,Auto Parts & Equipment,
513121,Oricon Enterprises Ltd.,ORICON,ORICON ENTERPRISES LTD.-$,Active,B ,2.00,INE730A01022,Containers & Packaging,Equity,Industrials,General Industrials,General Industrials,Containers & Packaging,
513149,"Acrow (India) Ltd.,",ACROW,ACROW INDIA LTD.,Active,X ,10.00,INE950D01012,Iron & Steel Products,Equity,Industrials,General Industrials,General Industrials,Iron & Steel Products,
513173,Steel Strips Infrastructures Limited,STLSTRINF,STEEL STRIPS INFRASTRUCTURES LTD.,Active,X ,10.00,INE205F01016,Realty,Equity,CDGS (Consumer Discretionary Goods & Services),Realty,Realty,Realty,
513216,Uttam Galva Steels Ltd.,UTTAMSTL,UTTAM GALVA STEELS LTD.,Active,T ,10.00,INE699A01011,Iron & Steel/Interm.Products,Equity,Basic Materials,Metals & Mining,Steel,Iron & Steel and Intermediary Products,
513228,"Pennar Industries Ltd.,",PENIND*,PENNAR INDUSTRIES LTD.-$,Active,B ,5.00,INE932A01024,Iron & Steel/Interm.Products,Equity,Basic Materials,Metals & Mining,Steel,Iron & Steel and Intermediary Products,
513250,"Jyoti Structures Ltd.,",JYOTISTRUC,JYOTI STRUCTURES LTD.,Active,Z ,2.00,INE197A01024,Heavy Electrical Equipment,Equity,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,
513252,Jay Ushin Ltd.,JAYUSH,JAY USHIN LTD.,Active,X ,10.00,INE289D01015,Auto Parts & Equipment,Equity,CDGS (Consumer Discretionary Goods & Services),Automobiles & Auto Components,Auto Components,Auto Parts & Equipment,
513262,Steel Strips & Wheels Ltd,SSWL,STEEL STRIPS WHEELS LTD.-$,Active,B ,5.00,INE802C01025,Auto Parts & Equipment,Equity,CDGS (Consumer Discretionary Goods & Services),Automobiles & Auto Components,Auto Components,Auto Parts & Equipment,
513269,Man Industries (India) Ltd,MANINDS,MAN INDUSTRIES (INDIA) LTD.-$,Active,B ,5.00,INE993A01026,Iron & Steel Products,Equity,Industrials,General Industrials,General Industrials,Iron & Steel Products,
513295,IMEC SERVICES LIMITED,IMEC,Imec Services Ltd,Active,X ,10.00,INE611C01012,Consulting Services,Equity,Industrials,Commercial Services & Supplies,Commercial Services & Supplies,Consulting Services,
513303,Modern Steels Limited,MDRNSTL,MODERN STEELS LTD.-$,Active,XT,10.00,INE001F01019,Iron & Steel/Interm.Products,Equity,Basic Materials,Metals & Mining,Steel,Iron & Steel and Intermediary Products,
513307,"Synthiko Foils Ltd.,",SYNTHFO,SYNTHIKO FOILS LTD.,Active,XT,5.00,INE363L01029,Aluminium,Equity,Basic Materials,Metals & Mining,Non-ferrous Metals,Aluminium,
513309,Golkonda Aluminium Extrusions Ltd,GOLKONDA,Golkonda Aluminium Extrusions Ltd-$,Active,Z ,10.00,INE327C01031,Aluminium,Equity,Basic Materials,Metals & Mining,Non-ferrous Metals,Aluminium,
513335,Metalyst Forgings Limited,METALFORGE,Metalyst Forgings Limited,Active,Z ,10.00,INE425A01011,Other Industrial Products,Equity,Industrials,General Industrials,General Industrials,Other Industrial Products,
513337,Gujarat Toolroom Ltd.,GUJTLRM,GUJARAT TOOLROOM LTD.,Active,XT,10.00,INE145J01024,Plastic Products,Equity,Industrials,General Industrials,General Industrials,Plastic Products,
513349,Ajmera Realty & Infra India Limited,AJMERA,AJMERA REALTY & INFRA INDIA LTD.,Active,B ,10.00,INE298G01027,Realty,Equity,CDGS (Consumer Discretionary Goods & Services),Realty,Realty,Realty,
513353,"Cochin Minerals & Rutile Ltd.,",COCHINM,COCHIN MINERALS & RUTILE LTD.-$,Active,X ,10.00,INE105D01013,Specialty Chemicals,Equity,Basic Materials,Chemicals & Petrochemicals,Chemicals,Specialty Chemicals,
513361,India Steel Works Ltd,ISWL,INDIA STEEL WORKS LTD.,Active,XT,1.00,INE072A01029,Iron & Steel/Interm.Products,Equity,Basic Materials,Metals & Mining,Steel,Iron & Steel and Intermediary Products,
513369,Rajkumar Forge Ltd,RJKMRFR,RAJKUMAR FORGE LTD.,Active,X ,10.00,INE013J01016,Other Industrial Products,Equity,Industrials,General Industrials,General Industrials,Other Industrial Products,
513375,"Carborundum Universal Ltd.,",CARBORUNIV,CARBORUNDUM UNIVERSAL LTD.,Active,A ,1.00,INE120A01034,Other Industrial Products,Equity,Industrials,General Industrials,General Industrials,Other Industrial Products,
513377,"MMTC Ltd.,",MMTC,MMTC LTD.,Active,A ,1.00,INE123F01029,Comm.Trading  & Distribution,Equity,Industrials,Commercial Services & Supplies,Commercial Services & Supplies,Trading Companies & Distributors,
513397,Vallabh Steels ltd,VALLABHSQ,VALLABH STEELS LTD.-$,Active,X ,10.00,INE457E01016,Iron & Steel Products,Equity,Industrials,General Industrials,General Industrials,Iron & Steel Products,
513401,Ashiana Ispat Limited,ASHIS,ASHIANA ISPAT LTD.,Active,X ,10.00,INE587D01012,Iron & Steel/Interm.Products,Equity,Basic Materials,Metals & Mining,Steel,Iron & Steel and Intermediary Products,
513418,Smiths & Founders (India) Limited,SMFIL,Smiths & Founders (India) Limited,Active,XT,1.00,INE728B01032,Other Industrial Products,Equity,Industrials,General Industrials,General Industrials,Other Industrial Products,
513422,Bloom Industries Ltd,BLOIN,BLOOM INDUSTRIES LTD.,Active,XT,10.00,INE373E01015,Iron & Steel/Interm.Products,Equity,Basic Materials,Metals & Mining,Steel,Iron & Steel and Intermediary Products,
513430,Maitri Enterprises Limited,MAITRI,Maitri Enterprises Ltd,Active,XT,10.00,INE501L01024,Aluminium,Equity,Basic Materials,Metals & Mining,Non-ferrous Metals,Aluminium,
513434,Tata Metaliks Ltd,TATAMETALI,TATA METALIKS LTD.,Active,A ,10.00,INE056C01010,Iron & Steel/Interm.Products,Equity,Basic Materials,Metals & Mining,Steel,Iron & Steel and Intermediary Products,
513436,Shah Alloys Limited,SHAHALLOYS,SHAH ALLOYS LTD.,Active,B ,10.00,INE640C01011,Iron & Steel/Interm.Products,Equity,Basic Materials,Metals & Mining,Steel,Iron & Steel and Intermediary Products,
513446,JSW ISPAT SPECIAL PRODUCTS LIMITED,JSWISPL,JSW Ispat Special Products Ltd,Active,B ,10.00,INE743C01021,Iron & Steel/Interm.Products,Equity,Basic Materials,Metals & Mining,Steel,Iron & Steel and Intermediary Products,
513452,Elango Industries Ltd,ELANGO,ELANGO INDUSTRIES LTD.,Active,XT,10.00,INE594D01018,Iron & Steel/Interm.Products,Equity,Basic Materials,Metals & Mining,Steel,Iron & Steel and Intermediary Products,
513456,Kanishk Steel Industries Ltd,KANSHST,KANISHK STEEL INDUSTRIES LTD.,Active,XT,10.00,INE791E01018,Iron & Steel Products,Equity,Industrials,General Industrials,General Industrials,Iron & Steel Products,
513460,Mahalaxmi Seamless Ltd.,MAHALXSE,MAHALAXMI SEAMLESS LTD.-$,Active,Z ,10.00,INE257F01017,Iron & Steel Products,Equity,Industrials,General Industrials,General Industrials,Iron & Steel Products,
513472,Simplex Castings Ltd.,SIMPLEXCAS,SIMPLEX CASTINGS LTD.,Active,X ,10.00,INE658D01011,Other Industrial Products,Equity,Industrials,General Industrials,General Industrials,Other Industrial Products,
513488,Shree Steel Wire Ropes Ltd.,SSWRL,SHREE STEEL WIRE ROPES LTD.,Active,X ,10.00,INE387D01025,Iron & Steel Products,Equity,Industrials,General Industrials,General Industrials,Iron & Steel Products,
513496,Mewat Zinc Ltd.,MEWATZI,MEWAT ZINC LTD.,Active,P ,10.00,INE235U01012,Zinc,Equity,Basic Materials,Metals & Mining,Non-ferrous Metals,Zinc,
513498,Southern Magnesium And Chemicals Lt,SOUTHMG,SOUTHERN MAGNESIUM & CHEMICALS LTD.,Active,XT,10.00,INE308N01012,Mining,Equity,Basic Materials,Metals & Mining,Mining,Mining,
513502,Baroda Extrusion Ltd.,BAROEXT,BARODA EXTRUSION LTD.,Active,XT,1.00,INE927K01023,Copper,Equity,Basic Materials,Metals & Mining,Non-ferrous Metals,Copper,
513507,Gujarat Containers Ltd.,GUJCONT,GUJARAT CONTAINERS LTD.,Active,P ,10.00,INE276I01011,Iron & Steel Products,Equity,Industrials,General Industrials,General Industrials,Iron & Steel Products,
513509,Kalyani Forge Ltd.,KALYANIFRG,KALYANI FORGE LTD.,Active,T ,10.00,INE314G01014,Auto Parts & Equipment,Equity,CDGS (Consumer Discretionary Goods & Services),Automobiles & Auto Components,Auto Components,Auto Parts & Equipment,
513511,Panchmahal Steel Ltd.,PANCHMAHQ,PANCHMAHAL STEEL LTD.,Active,X ,10.00,INE798F01010,Iron & Steel/Interm.Products,Equity,Basic Materials,Metals & Mining,Steel,Iron & Steel and Intermediary Products,
513513,Aditya Ispat Ltd.,ADITYA,ADITYA ISPAT LTD.,Active,X ,10.00,INE570B01012,Iron & Steel/Interm.Products,Equity,Basic Materials,Metals & Mining,Steel,Iron & Steel and Intermediary Products,
513515,S.R.Industries Ltd.,SRIND,S.R.INDUSTRIES LTD.,Active,XT,10.00,INE329C01011,Textiles,Equity,CDGS (Consumer Discretionary Goods & Services),"Textiles, Apparels & Accessories","Textiles, Apparels & Accessories",Textiles,
513517,Steelcast Ltd.,STEELCAS,STEELCAST LTD.,Active,B ,5.00,INE124E01020,Other Industrial Products,Equity,Industrials,General Industrials,General Industrials,Other Industrial Products,
513519,PITTI ENGINEERING LIMITED,PITTIENG,Pitti Engineering Ltd-$,Active,B ,5.00,INE450D01021,Other Elect.Equip./ Prod.,Equity,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment/ Products,
513528,Glittek Granites Ltd.,GLITTEKG,GLITTEK GRANITES LTD.,Active,XT,5.00,INE741B01027,Construction Materials,Equity,Basic Materials,Construction Materials,Other Construction Materials,Other Construction Materials,
513532,Pradeep Metals Ltd.,PRADPME,PRADEEP METALS LTD.,Active,X ,10.00,INE770A01010,Auto Parts & Equipment,Equity,CDGS (Consumer Discretionary Goods & Services),Automobiles & Auto Components,Auto Components,Auto Parts & Equipment,
513536,Gujarat Natural Resources Limited,GNRL,Gujarat Natural Resources Limited,Active,XT,10.00,INE207H01018,Exploration & Production,Equity,Energy,Oil & Gas,Oil & Gas Producers,Exploration & Production,
513540,Tamilnadu Steel Tubes Ltd.,TNSTLTU,TAMILNADU STEEL TUBES LTD.,Active,P ,10.00,INE176E01012,Iron & Steel Products,Equity,Industrials,General Industrials,General Industrials,Iron & Steel Products,
513548,Sharda Ispat Ltd.,SHRDAIS,SHARDA ISPAT LTD.,Active,XT,10.00,INE385M01012,Iron & Steel/Interm.Products,Equity,Basic Materials,Metals & Mining,Steel,Iron & Steel and Intermediary Products,
513554,Mahamaya Steel Industries Limited,MAHASTEEL,MAHAMAYA STEEL INDUSTRIES LTD.,Active,B ,10.00,INE451L01014,Iron & Steel Products,Equity,Industrials,General Industrials,General Industrials,Iron & Steel Products,
513599,Hindustan Copper Ltd.,HINDCOPPER,HINDUSTAN COPPER LTD.,Active,A ,5.00,INE531E01026,Copper,Equity,Basic Materials,Metals & Mining,Non-ferrous Metals,Copper,
513642,Axel Polymers Ltd.,AXELPOLY,AXEL POLYMERS LTD.,Active,XT,10.00,INE197C01012,Plastic Products,Equity,Industrials,General Industrials,General Industrials,Plastic Products,
513683,NLC India Limited,NLCINDIA,NLC India Ltd,Active,A ,10.00,INE589A01014,Electric Utilities,Equity,Utilities,Utilities,Utilities,Electric Utilities,
513687,Spectra Industries Ltd.,SPECTRA,SPECTRA INDUSTRIES LTD.,Active,XT,10.00,INE848B01012,Auto Parts & Equipment,Equity,CDGS (Consumer Discretionary Goods & Services),Automobiles & Auto Components,Auto Components,Auto Parts & Equipment,
513693,KIC Metaliks Ltd.,KAJARIR,KIC METALIKS LTD.,Active,X ,2.00,INE434C01027,Iron & Steel/Interm.Products,Equity,Basic Materials,Metals & Mining,Steel,Iron & Steel and Intermediary Products,
513699,Solid Stone Company Ltd.,SOLIDSTON,SOLID STONE COMPANY LTD.,Active,X ,10.00,INE584G01012,Construction Materials,Equity,Basic Materials,Construction Materials,Other Construction Materials,Other Construction Materials,
513709,Shilp Gravures Ltd.,SHILGRAVQ,SHILP GRAVURES LTD.-$,Active,X ,10.00,INE960A01017,Industrial Machinery,Equity,Industrials,Capital Goods,Machinery,Industrial Machinery,
513713,White Organic Agro Limited,WHITEORG,White Organic Agro Ltd,Active,X ,10.00,INE146C01019,Other Agricultural Products,Equity,FMCG (Fast Moving Consumer Goods),"Food, Beverages & Tobacco",Agricultural Food Products,Other Agricultural Products,
513721,MFS Intercorp Limited,MFSINTRCRP,MFS INTERCORP LTD.,Active,XT,10.00,INE614F01019,Iron & Steel/Interm.Products,Equity,Basic Materials,Metals & Mining,Steel,Iron & Steel and Intermediary Products,
513729,Aro Granite Industries Ltd.,AROGRANITE,ARO GRANITE INDUSTRIES LTD.-$,Active,B ,10.00,INE210C01013,Construction Materials,Equity,Basic Materials,Construction Materials,Other Construction Materials,Other Construction Materials,
514010,"Himachal Fibres Ltd.,",HIMFIBP,HIMACHAL FIBRES LTD.,Active,XT,1.00,INE723D01021,Textiles,Equity,CDGS (Consumer Discretionary Goods & Services),"Textiles, Apparels & Accessories","Textiles, Apparels & Accessories",Textiles,
514028,Rajkamal Synthetics Ltd.,RAJKSYN,RAJKAMAL SYNTHETICS LTD.,Active,XT,10.00,INE376L01013,Textiles,Equity,CDGS (Consumer Discretionary Goods & Services),"Textiles, Apparels & Accessories","Textiles, Apparels & Accessories",Textiles,
514030,"Deepak Spinners Ltd.,",DEEPAKSP,DEEPAK SPINNERS LTD.-$,Active,X ,10.00,INE272C01013,Textiles,Equity,CDGS (Consumer Discretionary Goods & Services),"Textiles, Apparels & Accessories","Textiles, Apparels & Accessories",Textiles,
514034,"JBF Industries Ltd.,",JBFIND,JBF INDUSTRIES LTD.,Active,T ,10.00,INE187A01017,Fibres & Plastics,Equity,Basic Materials,Chemicals & Petrochemicals,Petrochemicals,Fibers & Plastics,
514036,Loyal Textiles Mills Ltd,LOYALTEX,LOYAL TEXTILE MILLS LTD.-$,Active,X ,10.00,INE970D01010,Textiles,Equity,CDGS (Consumer Discretionary Goods & Services),"Textiles, Apparels & Accessories","Textiles, Apparels & Accessories",Textiles,
